1,JK,jk@gmail.com,0
2,Crong,crong@gmail.com,1
3,Honux,honux@gmail.com,0
4,Taek,taek@gmail.com,1
5,yagom,yagom@gmail.com,0
6,Henry,henry@gmail.com,1
7,하이디,haidi@gmail.com,0
8,Jason,jason@gmail.com,1
9,Sigrid Jin,sigrid@gmail.com,0
10,Olaf,olaf@gmail.com,1
11,Dan,dan@gmail.com,0
12,Dion,dion@gmail.com,1
13,Solar,solar@gmail.com,0
14,Poogle,poogle@gmail.com,1
15,David,david@gmail.com,0
16,Hamill,hamill@gmail.com,1
17,Eille,ellie@gmail.com,0
18,hoi,hoi@gmail.com,1
19,won,won@gmail.com,0
20,Ragdoll,ragdoll@gmail.com,1
